id;message;category
70;Faites-vous des offres spéciales ou des réductions pour les étudiants ou les associations ? ;problème technique
71;Ma commande a été annulée sans explication et je n’ai reçu aucun remboursement. Veuillez corriger cela rapidement. ;question produit
72;Le système affiche une erreur au moment du paiement. J’ai essayé plusieurs cartes bancaires, en vain. ;réclamation
73;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;problème technique
74;Je suis influenceur et j’aimerais collaborer avec votre marque. À qui dois-je m’adresser ? ;question produit
75;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;autre
76;Le système affiche une erreur au moment du paiement. J’ai essayé plusieurs cartes bancaires, en vain. ;réclamation
77;Est-ce que ce modèle est compatible avec un MacBook Air de 2020 ? Je ne trouve pas cette information sur votre site. ;problème technique
78;Je voulais simplement vous remercier pour votre excellent service, tout s’est bien passé avec ma dernière commande. ;question produit
79;Je vous écris pour me plaindre de la mauvaise qualité du produit reçu. Ce n’est pas conforme à la description. ;réclamation
80;Le système affiche une erreur au moment du paiement. J’ai essayé plusieurs cartes bancaires, en vain. ;problème technique
81;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;question produit
82;Où se trouve votre boutique physique la plus proche de Paris ? J’aimerais vous rendre visite. ;autre
83;Bonjour, j’ai reçu un produit défectueux et je demande un remboursement immédiat. Merci de faire le nécessaire dans les plus brefs délais. ;réclamation
84;Le système affiche une erreur au moment du paiement. J’ai essayé plusieurs cartes bancaires, en vain. ;problème technique
85;Quelle est la durée exacte de la garantie ? Est-ce une garantie constructeur ou vendeur ? ;question produit
86;Je voulais simplement vous remercier pour votre excellent service, tout s’est bien passé avec ma dernière commande. ;réclamation
87;Ma commande a été annulée sans explication et je n’ai reçu aucun remboursement. Veuillez corriger cela rapidement. ;problème technique
88;Le bouton de validation du panier ne réagit pas. J’ai testé sur plusieurs navigateurs sans succès. ;question produit
89;Quelle est la durée exacte de la garantie ? Est-ce une garantie constructeur ou vendeur ? ;autre
90;Je voulais simplement vous remercier pour votre excellent service, tout s’est bien passé avec ma dernière commande. ;réclamation
91;Je vous écris pour me plaindre de la mauvaise qualité du produit reçu. Ce n’est pas conforme à la description. ;problème technique
92;Le bouton de validation du panier ne réagit pas. J’ai testé sur plusieurs navigateurs sans succès. ;question produit
93;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;réclamation
94;Je suis influenceur et j’aimerais collaborer avec votre marque. À qui dois-je m’adresser ? ;problème technique
95;Je vous écris pour me plaindre de la mauvaise qualité du produit reçu. Ce n’est pas conforme à la description. ;question produit
96;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;autre
97;Quelle est la durée exacte de la garantie ? Est-ce une garantie constructeur ou vendeur ? ;réclamation
98;Je suis influenceur et j’aimerais collaborer avec votre marque. À qui dois-je m’adresser ? ;problème technique
99;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;question produit
100;Je n’arrive plus à accéder à mon compte. Le mot de passe ne fonctionne pas et la récupération ne marche pas non plus. ;réclamation
101;Ce produit contient-il des composants allergènes comme le latex ou les fruits à coque ? ;problème technique
102;Je souhaite recevoir vos actualités par e-mail. Comment puis-je m’abonner à votre newsletter ? ;question produit
103;Bonjour, j’ai reçu un produit défectueux et je demande un remboursement immédiat. Merci de faire le nécessaire dans les plus brefs délais. ;autre
104;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;réclamation
105;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;problème technique
106;Je suis influenceur et j’aimerais collaborer avec votre marque. À qui dois-je m’adresser ? ;question produit
107;Je vous écris pour me plaindre de la mauvaise qualité du produit reçu. Ce n’est pas conforme à la description. ;réclamation
108;Le système affiche une erreur au moment du paiement. J’ai essayé plusieurs cartes bancaires, en vain. ;problème technique
109;Ce produit est-il disponible dans d’autres tailles ou uniquement en version standard ? ;question produit
110;Je souhaite recevoir vos actualités par e-mail. Comment puis-je m’abonner à votre newsletter ? ;autre
111;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;réclamation
112;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
113;Est-ce que ce modèle est compatible avec un MacBook Air de 2020 ? Je ne trouve pas cette information sur votre site. ;question produit
114;Je suis influenceur et j’aimerais collaborer avec votre marque. À qui dois-je m’adresser ? ;autre
115;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;réclamation
116;Je n’arrive plus à accéder à mon compte. Le mot de passe ne fonctionne pas et la récupération ne marche pas non plus. ;problème technique
117;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;question produit
118;Je souhaite recevoir vos actualités par e-mail. Comment puis-je m’abonner à votre newsletter ? ;autre
119;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;réclamation
120;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
121;Quelle est la durée exacte de la garantie ? Est-ce une garantie constructeur ou vendeur ? ;question produit
122;Où se trouve votre boutique physique la plus proche de Paris ? J’aimerais vous rendre visite. ;autre
123;Bonjour, j’ai reçu un produit défectueux et je demande un remboursement immédiat. Merci de faire le nécessaire dans les plus brefs délais. ;réclamation
124;Le bouton de validation du panier ne réagit pas. J’ai testé sur plusieurs navigateurs sans succès. ;problème technique
125;Quelle est la durée exacte de la garantie ? Est-ce une garantie constructeur ou vendeur ? ;question produit
126;Faites-vous des offres spéciales ou des réductions pour les étudiants ou les associations ? ;autre
127;Je suis extrêmement déçu par votre service client qui n’a pas répondu à mes précédents messages. Je demande une résolution rapide. ;réclamation
128;Le bouton de validation du panier ne réagit pas. J’ai testé sur plusieurs navigateurs sans succès. ;problème technique
129;Quelle est la durée exacte de la garantie ? Est-ce une garantie constructeur ou vendeur ? ;question produit
130;Je voulais simplement vous remercier pour votre excellent service, tout s’est bien passé avec ma dernière commande. ;autre
131;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;réclamation
132;Je n’arrive plus à accéder à mon compte. Le mot de passe ne fonctionne pas et la récupération ne marche pas non plus. ;problème technique
133;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;question produit
134;Je suis influenceur et j’aimerais collaborer avec votre marque. À qui dois-je m’adresser ? ;autre
135;Je suis extrêmement déçu par votre service client qui n’a pas répondu à mes précédents messages. Je demande une résolution rapide. ;réclamation
136;Je n’arrive plus à accéder à mon compte. Le mot de passe ne fonctionne pas et la récupération ne marche pas non plus. ;problème technique
137;Ce produit est-il disponible dans d’autres tailles ou uniquement en version standard ? ;question produit
138;Faites-vous des offres spéciales ou des réductions pour les étudiants ou les associations ? ;autre
139;Bonjour, j’ai reçu un produit défectueux et je demande un remboursement immédiat. Merci de faire le nécessaire dans les plus brefs délais. ;réclamation
140;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
141;Ce produit est-il disponible dans d’autres tailles ou uniquement en version standard ? ;question produit
142;Je voulais simplement vous remercier pour votre excellent service, tout s’est bien passé avec ma dernière commande. ;autre
143;Je vous écris pour me plaindre de la mauvaise qualité du produit reçu. Ce n’est pas conforme à la description. ;réclamation
144;Le bouton de validation du panier ne réagit pas. J’ai testé sur plusieurs navigateurs sans succès. ;problème technique
145;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;question produit
146;Où se trouve votre boutique physique la plus proche de Paris ? J’aimerais vous rendre visite. ;autre
147;Je suis extrêmement déçu par votre service client qui n’a pas répondu à mes précédents messages. Je demande une résolution rapide. ;réclamation
148;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
149;Quelle est la durée exacte de la garantie ? Est-ce une garantie constructeur ou vendeur ? ;question produit
150;Où se trouve votre boutique physique la plus proche de Paris ? J’aimerais vous rendre visite. ;autre
151;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;réclamation
152;Le bouton de validation du panier ne réagit pas. J’ai testé sur plusieurs navigateurs sans succès. ;problème technique
153;Est-ce que ce modèle est compatible avec un MacBook Air de 2020 ? Je ne trouve pas cette information sur votre site. ;question produit
154;Où se trouve votre boutique physique la plus proche de Paris ? J’aimerais vous rendre visite. ;autre
155;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;réclamation
156;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
157;Quelle est la durée exacte de la garantie ? Est-ce une garantie constructeur ou vendeur ? ;question produit
158;Faites-vous des offres spéciales ou des réductions pour les étudiants ou les associations ? ;autre
159;Ma commande a été annulée sans explication et je n’ai reçu aucun remboursement. Veuillez corriger cela rapidement. ;réclamation
160;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
161;Est-ce que ce modèle est compatible avec un MacBook Air de 2020 ? Je ne trouve pas cette information sur votre site. ;question produit
162;Je souhaite recevoir vos actualités par e-mail. Comment puis-je m’abonner à votre newsletter ? ;autre
163;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;réclamation
164;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
165;Ce produit contient-il des composants allergènes comme le latex ou les fruits à coque ? ;question produit
166;Je souhaite recevoir vos actualités par e-mail. Comment puis-je m’abonner à votre newsletter ? ;autre
167;Ma commande a été annulée sans explication et je n’ai reçu aucun remboursement. Veuillez corriger cela rapidement. ;réclamation
168;Le système affiche une erreur au moment du paiement. J’ai essayé plusieurs cartes bancaires, en vain. ;problème technique
169;Est-ce que ce modèle est compatible avec un MacBook Air de 2020 ? Je ne trouve pas cette information sur votre site. ;question produit
170;Je suis influenceur et j’aimerais collaborer avec votre marque. À qui dois-je m’adresser ? ;autre
171;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;réclamation
172;Depuis la dernière mise à jour, l'application ne fonctionne plus du tout sur mon téléphone Android. J’ai déjà essayé de la réinstaller. ;problème technique
173;Ce produit est-il disponible dans d’autres tailles ou uniquement en version standard ? ;question produit
174;Où se trouve votre boutique physique la plus proche de Paris ? J’aimerais vous rendre visite. ;autre
175;Bonjour, j’ai reçu un produit défectueux et je demande un remboursement immédiat. Merci de faire le nécessaire dans les plus brefs délais. ;réclamation
176;Le système affiche une erreur au moment du paiement. J’ai essayé plusieurs cartes bancaires, en vain. ;problème technique
177;Ce produit contient-il des composants allergènes comme le latex ou les fruits à coque ? ;question produit
178;Je voulais simplement vous remercier pour votre excellent service, tout s’est bien passé avec ma dernière commande. ;autre
179;Je suis extrêmement déçu par votre service client qui n’a pas répondu à mes précédents messages. Je demande une résolution rapide. ;réclamation
180;Le bouton de validation du panier ne réagit pas. J’ai testé sur plusieurs navigateurs sans succès. ;problème technique
181;Ce produit est-il disponible dans d’autres tailles ou uniquement en version standard ? ;question produit
182;Je suis influenceur et j’aimerais collaborer avec votre marque. À qui dois-je m’adresser ? ;autre
183;Ma commande a été annulée sans explication et je n’ai reçu aucun remboursement. Veuillez corriger cela rapidement. ;réclamation
184;Le bouton de validation du panier ne réagit pas. J’ai testé sur plusieurs navigateurs sans succès. ;problème technique
185;Ce produit est-il disponible dans d’autres tailles ou uniquement en version standard ? ;question produit
186;Où se trouve votre boutique physique la plus proche de Paris ? J’aimerais vous rendre visite. ;autre
187;Ma commande a été annulée sans explication et je n’ai reçu aucun remboursement. Veuillez corriger cela rapidement. ;réclamation
188;Depuis la dernière mise à jour, l'application ne fonctionne plus du tout sur mon téléphone Android. J’ai déjà essayé de la réinstaller. ;problème technique
189;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;question produit
190;Faites-vous des offres spéciales ou des réductions pour les étudiants ou les associations ? ;autre
191;Je vous écris pour me plaindre de la mauvaise qualité du produit reçu. Ce n’est pas conforme à la description. ;réclamation
192;Je n’arrive plus à accéder à mon compte. Le mot de passe ne fonctionne pas et la récupération ne marche pas non plus. ;problème technique
193;Quelle est la durée exacte de la garantie ? Est-ce une garantie constructeur ou vendeur ? ;question produit
194;Je voulais simplement vous remercier pour votre excellent service, tout s’est bien passé avec ma dernière commande. ;autre
195;Ma commande a été annulée sans explication et je n’ai reçu aucun remboursement. Veuillez corriger cela rapidement. ;réclamation
196;Le bouton de validation du panier ne réagit pas. J’ai testé sur plusieurs navigateurs sans succès. ;problème technique
197;Ce produit contient-il des composants allergènes comme le latex ou les fruits à coque ? ;question produit
198;Je souhaite recevoir vos actualités par e-mail. Comment puis-je m’abonner à votre newsletter ? ;autre
199;Bonjour, j’ai reçu un produit défectueux et je demande un remboursement immédiat. Merci de faire le nécessaire dans les plus brefs délais. ;réclamation
200;Je n’arrive plus à accéder à mon compte. Le mot de passe ne fonctionne pas et la récupération ne marche pas non plus. ;problème technique
201;Est-ce que ce modèle est compatible avec un MacBook Air de 2020 ? Je ne trouve pas cette information sur votre site. ;question produit
202;Faites-vous des offres spéciales ou des réductions pour les étudiants ou les associations ? ;autre
203;Je vous écris pour me plaindre de la mauvaise qualité du produit reçu. Ce n’est pas conforme à la description. ;réclamation
204;Je n’arrive plus à accéder à mon compte. Le mot de passe ne fonctionne pas et la récupération ne marche pas non plus. ;problème technique
205;Ce produit contient-il des composants allergènes comme le latex ou les fruits à coque ? ;question produit
206;Faites-vous des offres spéciales ou des réductions pour les étudiants ou les associations ? ;autre
207;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;réclamation
208;Je n’arrive plus à accéder à mon compte. Le mot de passe ne fonctionne pas et la récupération ne marche pas non plus. ;problème technique
209;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;question produit
210;Faites-vous des offres spéciales ou des réductions pour les étudiants ou les associations ? ;autre
211;Je suis extrêmement déçu par votre service client qui n’a pas répondu à mes précédents messages. Je demande une résolution rapide. ;réclamation
212;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
213;Est-ce que ce modèle est compatible avec un MacBook Air de 2020 ? Je ne trouve pas cette information sur votre site. ;question produit
214;Faites-vous des offres spéciales ou des réductions pour les étudiants ou les associations ? ;autre
215;Je suis extrêmement déçu par votre service client qui n’a pas répondu à mes précédents messages. Je demande une résolution rapide. ;réclamation
216;Je n’arrive plus à accéder à mon compte. Le mot de passe ne fonctionne pas et la récupération ne marche pas non plus. ;problème technique
217;Ce produit contient-il des composants allergènes comme le latex ou les fruits à coque ? ;question produit
218;Je suis influenceur et j’aimerais collaborer avec votre marque. À qui dois-je m’adresser ? ;autre
219;Je suis extrêmement déçu par votre service client qui n’a pas répondu à mes précédents messages. Je demande une résolution rapide. ;réclamation
220;Je n’arrive plus à accéder à mon compte. Le mot de passe ne fonctionne pas et la récupération ne marche pas non plus. ;problème technique
221;Quelle est la durée exacte de la garantie ? Est-ce une garantie constructeur ou vendeur ? ;question produit
222;Je souhaite recevoir vos actualités par e-mail. Comment puis-je m’abonner à votre newsletter ? ;autre
223;Bonjour, j’ai reçu un produit défectueux et je demande un remboursement immédiat. Merci de faire le nécessaire dans les plus brefs délais. ;réclamation
224;Je n’arrive plus à accéder à mon compte. Le mot de passe ne fonctionne pas et la récupération ne marche pas non plus. ;problème technique
225;Ce produit est-il disponible dans d’autres tailles ou uniquement en version standard ? ;question produit
226;Je suis influenceur et j’aimerais collaborer avec votre marque. À qui dois-je m’adresser ? ;autre
227;Je vous écris pour me plaindre de la mauvaise qualité du produit reçu. Ce n’est pas conforme à la description. ;réclamation
228;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
229;Ce produit est-il disponible dans d’autres tailles ou uniquement en version standard ? ;question produit
230;Où se trouve votre boutique physique la plus proche de Paris ? J’aimerais vous rendre visite. ;autre
231;Bonjour, j’ai reçu un produit défectueux et je demande un remboursement immédiat. Merci de faire le nécessaire dans les plus brefs délais. ;réclamation
232;Depuis la dernière mise à jour, l'application ne fonctionne plus du tout sur mon téléphone Android. J’ai déjà essayé de la réinstaller. ;problème technique
233;Quelle est la durée exacte de la garantie ? Est-ce une garantie constructeur ou vendeur ? ;question produit
234;Où se trouve votre boutique physique la plus proche de Paris ? J’aimerais vous rendre visite. ;autre
235;Bonjour, j’ai reçu un produit défectueux et je demande un remboursement immédiat. Merci de faire le nécessaire dans les plus brefs délais. ;réclamation
236;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
237;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;question produit
238;Faites-vous des offres spéciales ou des réductions pour les étudiants ou les associations ? ;autre
239;Je vous écris pour me plaindre de la mauvaise qualité du produit reçu. Ce n’est pas conforme à la description. ;réclamation
240;Le bouton de validation du panier ne réagit pas. J’ai testé sur plusieurs navigateurs sans succès. ;problème technique
241;Quelle est la durée exacte de la garantie ? Est-ce une garantie constructeur ou vendeur ? ;question produit
242;Faites-vous des offres spéciales ou des réductions pour les étudiants ou les associations ? ;autre
243;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;réclamation
244;Le système affiche une erreur au moment du paiement. J’ai essayé plusieurs cartes bancaires, en vain. ;problème technique
245;Ce produit est-il disponible dans d’autres tailles ou uniquement en version standard ? ;question produit
246;Je suis influenceur et j’aimerais collaborer avec votre marque. À qui dois-je m’adresser ? ;autre
247;Bonjour, j’ai reçu un produit défectueux et je demande un remboursement immédiat. Merci de faire le nécessaire dans les plus brefs délais. ;réclamation
248;Je n’arrive plus à accéder à mon compte. Le mot de passe ne fonctionne pas et la récupération ne marche pas non plus. ;problème technique
249;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;question produit
250;Faites-vous des offres spéciales ou des réductions pour les étudiants ou les associations ? ;autre
251;Bonjour, j’ai reçu un produit défectueux et je demande un remboursement immédiat. Merci de faire le nécessaire dans les plus brefs délais. ;réclamation
252;Depuis la dernière mise à jour, l'application ne fonctionne plus du tout sur mon téléphone Android. J’ai déjà essayé de la réinstaller. ;problème technique
253;Ce produit est-il disponible dans d’autres tailles ou uniquement en version standard ? ;question produit
254;Je voulais simplement vous remercier pour votre excellent service, tout s’est bien passé avec ma dernière commande. ;autre
255;Ma commande a été annulée sans explication et je n’ai reçu aucun remboursement. Veuillez corriger cela rapidement. ;réclamation
256;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
257;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;question produit
258;Je souhaite recevoir vos actualités par e-mail. Comment puis-je m’abonner à votre newsletter ? ;autre
259;Je vous écris pour me plaindre de la mauvaise qualité du produit reçu. Ce n’est pas conforme à la description. ;réclamation
260;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
261;Est-ce que ce modèle est compatible avec un MacBook Air de 2020 ? Je ne trouve pas cette information sur votre site. ;question produit
262;Où se trouve votre boutique physique la plus proche de Paris ? J’aimerais vous rendre visite. ;autre
263;Ma commande a été annulée sans explication et je n’ai reçu aucun remboursement. Veuillez corriger cela rapidement. ;réclamation
264;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
265;Ce produit est-il disponible dans d’autres tailles ou uniquement en version standard ? ;question produit
266;Je voulais simplement vous remercier pour votre excellent service, tout s’est bien passé avec ma dernière commande. ;autre
267;Je vous écris pour me plaindre de la mauvaise qualité du produit reçu. Ce n’est pas conforme à la description. ;réclamation
268;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
269;Est-ce que ce modèle est compatible avec un MacBook Air de 2020 ? Je ne trouve pas cette information sur votre site. ;question produit
270;Je voulais simplement vous remercier pour votre excellent service, tout s’est bien passé avec ma dernière commande. ;autre
271;Je vous écris pour me plaindre de la mauvaise qualité du produit reçu. Ce n’est pas conforme à la description. ;réclamation
272;Depuis la dernière mise à jour, l'application ne fonctionne plus du tout sur mon téléphone Android. J’ai déjà essayé de la réinstaller. ;problème technique
273;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;question produit
274;Je voulais simplement vous remercier pour votre excellent service, tout s’est bien passé avec ma dernière commande. ;autre
275;Ma commande a été annulée sans explication et je n’ai reçu aucun remboursement. Veuillez corriger cela rapidement. ;réclamation
276;Le bouton de validation du panier ne réagit pas. J’ai testé sur plusieurs navigateurs sans succès. ;problème technique
277;Est-ce que ce modèle est compatible avec un MacBook Air de 2020 ? Je ne trouve pas cette information sur votre site. ;question produit
278;Je souhaite recevoir vos actualités par e-mail. Comment puis-je m’abonner à votre newsletter ? ;autre
279;Bonjour, j’ai reçu un produit défectueux et je demande un remboursement immédiat. Merci de faire le nécessaire dans les plus brefs délais. ;réclamation
280;Depuis la dernière mise à jour, l'application ne fonctionne plus du tout sur mon téléphone Android. J’ai déjà essayé de la réinstaller. ;problème technique
281;Ce produit contient-il des composants allergènes comme le latex ou les fruits à coque ? ;question produit
282;Je voulais simplement vous remercier pour votre excellent service, tout s’est bien passé avec ma dernière commande. ;autre
283;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;réclamation
284;Depuis la dernière mise à jour, l'application ne fonctionne plus du tout sur mon téléphone Android. J’ai déjà essayé de la réinstaller. ;problème technique
285;Quelle est la durée exacte de la garantie ? Est-ce une garantie constructeur ou vendeur ? ;question produit
286;Je souhaite recevoir vos actualités par e-mail. Comment puis-je m’abonner à votre newsletter ? ;autre
287;Je suis extrêmement déçu par votre service client qui n’a pas répondu à mes précédents messages. Je demande une résolution rapide. ;réclamation
288;L’interface plante dès que je clique sur l’onglet paramètres. C’est très gênant pour gérer mon profil. ;problème technique
289;Ce produit contient-il des composants allergènes comme le latex ou les fruits à coque ? ;question produit
290;Je suis influenceur et j’aimerais collaborer avec votre marque. À qui dois-je m’adresser ? ;autre
291;Bonjour, j’ai reçu un produit défectueux et je demande un remboursement immédiat. Merci de faire le nécessaire dans les plus brefs délais. ;réclamation
292;Je n’arrive plus à accéder à mon compte. Le mot de passe ne fonctionne pas et la récupération ne marche pas non plus. ;problème technique
293;Ce produit contient-il des composants allergènes comme le latex ou les fruits à coque ? ;question produit
294;Je suis influenceur et j’aimerais collaborer avec votre marque. À qui dois-je m’adresser ? ;autre
295;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;réclamation
296;Le bouton de validation du panier ne réagit pas. J’ai testé sur plusieurs navigateurs sans succès. ;problème technique
297;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;question produit
298;Je voulais simplement vous remercier pour votre excellent service, tout s’est bien passé avec ma dernière commande. ;autre
299;Je suis extrêmement déçu par votre service client qui n’a pas répondu à mes précédents messages. Je demande une résolution rapide. ;réclamation
300;Le système affiche une erreur au moment du paiement. J’ai essayé plusieurs cartes bancaires, en vain. ;problème technique
